title,imdb_id
Inception,tt1375666
Interstellar,tt0816692
The Dark Knight,tt0468569
Avatar,tt0499549
The Avengers,tt0848228
Deadpool,tt1431045
Avengers: Infinity War,tt4154756
Fight Club,tt0137523
Guardians of the Galaxy,tt2015381
Pulp Fiction,tt0110912
Forrest Gump,tt0109830
Harry Potter and the Philosopher's Stone,tt0241527
Iron Man,tt0371746
Django Unchained,tt1853728
The Shawshank Redemption,tt0111161
Avengers: Endgame,tt4154796
The Matrix,tt0133093
Titanic,tt0120338
Joker,tt7286456
The Lord of the Rings: The Fellowship of the Ring,tt0120737
The Lord of the Rings: The Return of the King,tt0167260
Shutter Island,tt1130884
The Wolf of Wall Street,tt0993846
Avengers: Age of Ultron,tt2395427
Captain America: Civil War,tt3498820
The Dark Knight Rises,tt1345836
Iron Man 3,tt1300854
Black Panther,tt1825683
Doctor Strange,tt1211837
Mad Max: Fury Road,tt1392190
Inglourious Basterds,tt0361748
The Hunger Games,tt1392170
Spider-Man: Homecoming,tt2250912
Harry Potter and the Chamber of Secrets,tt0295297
Guardians of the Galaxy Vol. 2,tt3896198
The Lord of the Rings: The Two Towers,tt0167261
Captain America: The First Avenger,tt0458339
Suicide Squad,tt1386697
Harry Potter and the Prisoner of Azkaban,tt0304141
Thor,tt0800369
Iron Man 2,tt1228705
Batman Begins,tt0372784
Thor: Ragnarok,tt3501632
Inside Out,tt2096673
Jurassic World,tt0369610
Se7en,tt0114369
Harry Potter and the Goblet of Fire,tt0330373
Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980
Harry Potter and the Deathly Hallows: Part 2,tt1201607
Wonder Woman,tt0451279
Up,tt1049413
Ant-Man,tt0478970
The Martian,tt3659388
Star Wars: The Force Awakens,tt2488496
Spider-Man: No Way Home,tt10872600
Harry Potter and the Order of the Phoenix,tt0373889
Harry Potter and the Half-Blood Prince,tt0417741
Logan,tt3315342
Finding Nemo,tt0266543
It,tt1396484
John Wick,tt2911666
Fantastic Beasts and Where to Find Them,tt3183660
Harry Potter and the Deathly Hallows: Part 1,tt0926084
Coco,tt2380307
Captain America: The Winter Soldier,tt1843866
Spider-Man,tt0145487
WALL·E,tt0910970
Gone Girl,tt2267998
The Hobbit: An Unexpected Journey,tt0903624
"Monsters, Inc.",tt0198781
Toy Story,tt0114709
The Revenant,tt1663202
Batman v Superman: Dawn of Justice,tt2975590
The Lion King,tt0110357
Gladiator,tt0172495
The Truman Show,tt0120382
The Incredibles,tt0317705
Arrival,tt2543164
Thor: The Dark World,tt1981115
The Amazing Spider-Man,tt0948470
Split,tt4972582
Deadpool 2,tt5463162
Kill Bill: Vol. 1,tt0266697
The Hunger Games: Catching Fire,tt1951264
Get Out,tt5052448
The Imitation Game,tt2084970
Bohemian Rhapsody,tt1727824
The Green Mile,tt0120689
The Maze Runner,tt1790864
The Hangover,tt1119646
Shrek,tt0126029
Ratatouille,tt0382932
